,X1,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,time,stock,sub_vector,relation_vector,obj_vector
11,10,0.949783246,0.950587408,0.9521018,0.948902441,0.946015448,0.953484591,0.950942684,0.948438384,0.947454673,0.950948821,0.949659896,0.948979666,0.95849593,0.954695566,0.949741042,0.950683215,0.953417637,0.951889809,0.949284409,0.958374267,0.956152757,0.952171644,0.951800634,0.955772833,0.950371539,0.95300967,0.948726977,0.954490888,0.957383603,0.950310483,0.951116796,0.949467032,0.951247286,0.946929328,0.948855191,0.950177306,0.945702286,0.951196279,0.949268195,0.954660498,0.957539705,0.951181581,0.944528174,0.956018585,0.950441358,0.954623092,0.956208191,0.95066206,0.955483136,0.954608683,2020/5/5,1,Fed study,ties,1918 flu pandemic
12,11,0.153981346,0.189617129,0.193691821,0.104446107,0.069502814,0.164340767,0.155882267,0.181215876,0.131121581,0.116098093,0.166150978,0.140841682,0.208146605,0.223773682,0.13353945,0.170509178,0.076379459,0.171235972,0.127413746,0.267169387,0.120772004,0.101217166,0.157864729,0.186300169,0.129556014,0.262797724,0.100642322,0.199837008,0.1963794,0.146448011,0.07770119,0.12796174,0.053203715,0.106239171,0.124535438,0.148837412,0.113443964,0.120951956,0.146932091,0.112958396,0.25050652,0.126402826,0.077005737,0.186786852,0.098207945,0.086914627,0.110500752,0.135199457,0.239266822,0.16468658,2020/4/2,1,new select committee,oversee,$ 2 trillion coronavirus relief package
13,12,0.901369815,0.916059042,0.903625492,0.8932169,0.896514253,0.910493199,0.905582442,0.904847865,0.902542807,0.896144222,0.903224973,0.904953122,0.90721275,0.908518673,0.899648984,0.907998326,0.910171133,0.893844242,0.901264473,0.903124886,0.897280245,0.900094856,0.901090867,0.901050265,0.896087158,0.899003562,0.894942985,0.901643985,0.909312957,0.90298659,0.892412673,0.901806019,0.898903737,0.904103171,0.903371607,0.90493639,0.896457831,0.89398051,0.903070008,0.902410184,0.90302306,0.905971814,0.890506662,0.900179561,0.898913954,0.898740344,0.910577697,0.905955192,0.909052304,0.915332252,2020/5/1,0,Elon Musk,is using,his power
14,13,0.464741955,0.424274353,0.355922415,0.386793277,0.402048542,0.458620044,0.420487027,0.415599321,0.423914185,0.408540364,0.360887599,0.44357377,0.458933326,0.417378352,0.382501463,0.419806871,0.385132259,0.385705707,0.39528143,0.442072476,0.368850465,0.375069809,0.366939628,0.451314876,0.3543349,0.469433402,0.396965233,0.412545799,0.428576377,0.355631795,0.39094477,0.404716348,0.377773134,0.415318277,0.420846796,0.401082789,0.389186888,0.351253182,0.457256672,0.380089269,0.415519284,0.407228056,0.377723714,0.464690788,0.36130688,0.400882254,0.393762087,0.405395242,0.450588938,0.471102823,2020/5/5,1,Parts,could reopen in,week governor
15,14,0.133380156,0.128070033,0.091814619,0.086107024,0.056778137,0.160445782,0.099084448,0.120682822,0.123486377,0.095220929,0.065609191,0.116108936,0.19216114,0.164759306,0.097096624,0.130492455,0.046242092,0.110326761,0.121415227,0.155940003,0.059734665,0.098421959,0.126661091,0.147718329,0.047699298,0.202028826,0.128936069,0.126538829,0.132033546,0.08361729,0.132629833,0.08795455,0.053394879,0.132622694,0.128534956,0.116101951,0.113139221,0.060830775,0.125963399,0.086889212,0.157521051,0.12440208,0.103295379,0.142169429,0.117993705,0.085271625,0.081259912,0.079720705,0.151348152,0.146839637,2020/3/19,1,Medical staff,describe,shortages of masks
16,15,0.257755186,0.275901016,0.215936848,0.211098424,0.189705894,0.285481017,0.246456627,0.256508117,0.208788956,0.180687122,0.195701783,0.244534525,0.290487888,0.287191101,0.175276748,0.228619557,0.224783575,0.202316923,0.183358489,0.264152005,0.18073451,0.235308584,0.227574873,0.278059394,0.18550882,0.314290671,0.215156916,0.239762194,0.265285967,0.214750905,0.226307518,0.21065581,0.201119291,0.23360371,0.245350204,0.223475989,0.210392562,0.173400588,0.221979687,0.186165495,0.273504254,0.230421434,0.19591753,0.240363406,0.196783603,0.21327172,0.218245716,0.229295717,0.270503131,0.265490424,2020/5/8,1,Brazil,reports,record daily increase of Covid 19 deaths
17,16,0.02337772,0.049239568,0.003743123,-0.047251219,-0.013299884,0.060723659,0.050163886,0.040720616,-0.01624975,0.023504842,-0.021807904,0.026244878,0.047130386,0.035713648,-0.020244575,0.021227871,-0.010589678,0.016955348,-0.030815628,0.044393143,-0.022221592,-0.006051482,-0.014899188,0.043610188,-0.00099302,0.068937324,-0.008001141,0.020425949,0.072913021,-0.057911985,-0.001204251,-0.005243585,-0.028821633,-0.022879822,0.032320042,-0.014321574,0.006829348,-0.039096809,-0.007956976,-0.006293046,0.013073781,0.019789198,-0.0113878,0.023049687,-0.01021841,0.011692425,0.014133763,0.057427756,0.032337542,0.062709871,2020/5/1,0,you,need,to know today
18,17,0.990613993,0.990883481,0.99209888,0.991766134,0.99092608,0.991680836,0.991765726,0.990697354,0.991419139,0.991334273,0.991352158,0.991697039,0.991086888,0.991696604,0.991179501,0.991092563,0.991719514,0.991009997,0.992053021,0.99087045,0.991193858,0.991389515,0.99151045,0.991171899,0.990598711,0.991394159,0.990751119,0.991182557,0.992231685,0.991102797,0.991191209,0.991158899,0.990343618,0.991016626,0.990938515,0.991131145,0.990869531,0.991689387,0.991654107,0.990736721,0.992390631,0.991022096,0.990936288,0.991908653,0.991249257,0.991649482,0.991416557,0.99140849,0.990945322,0.991742359,2020/6/1,1,court backs Puerto Rico oversight board,hedge,funds
19,18,0.994938936,0.994512416,0.99473216,0.994829481,0.994866181,0.994797761,0.994932366,0.994859225,0.994755863,0.995003289,0.994818319,0.995013586,0.994745693,0.99459845,0.994835896,0.994473786,0.994906348,0.995022241,0.994737736,0.994604806,0.994828613,0.994760588,0.994886148,0.994700173,0.994985008,0.994857618,0.994792784,0.994752701,0.994833262,0.994734863,0.995041002,0.994951985,0.994572275,0.994915173,0.994877557,0.994760931,0.995174007,0.994981723,0.994960329,0.99486072,0.994665492,0.994816745,0.994901877,0.9951419,0.994649505,0.994935595,0.994894188,0.995088869,0.994690755,0.994413188,2020/5/7,1,Germanys football league,will resume games at time,week
20,19,0.888187109,0.881587872,0.886938161,0.881636418,0.872718063,0.889332078,0.879712163,0.874567256,0.876775486,0.860000732,0.878484461,0.884420665,0.900042898,0.897358078,0.880031408,0.878518706,0.875489309,0.875653969,0.871032791,0.88899631,0.888728611,0.876486489,0.875140147,0.89168488,0.877870377,0.901461183,0.883832218,0.888449023,0.902336252,0.881894673,0.874438037,0.877448204,0.875499588,0.878499258,0.879625437,0.881539277,0.866928979,0.883617159,0.88536681,0.876684225,0.903712654,0.887594941,0.871111777,0.894255878,0.878495754,0.883261913,0.881410507,0.885651151,0.899402912,0.896816648,2020/4/1,0,FEMA,braces,hurricane season looms
21,20,0.1558706,0.176527593,0.108648758,0.102762153,0.102898503,0.184696094,0.135615797,0.13908002,0.143876112,0.11587162,0.100301899,0.142936855,0.169312208,0.1670722,0.127411622,0.142927518,0.106273448,0.107968768,0.10996356,0.166733192,0.096356326,0.111355134,0.112556431,0.152637153,0.088893055,0.184367701,0.13631626,0.123668597,0.169187164,0.131273687,0.138407801,0.119575549,0.092750265,0.142534406,0.147823771,0.149334817,0.111329032,0.078837157,0.134494331,0.100740352,0.172838202,0.124236578,0.105731444,0.145349675,0.129489954,0.143185434,0.106806008,0.136313726,0.17463295,0.166246605,2020/3/23,0,Biden,goes in,search of bully pulpit
22,21,0.008954146,0.094965546,0.08091667,0.033002241,-0.045091275,0.085607646,0.074558409,-0.032974097,-0.010796957,0.017385466,0.003618495,-0.004310392,0.102140968,0.005906258,-0.026660437,0.061671944,-0.077942531,-0.002999818,0.018077097,0.037277984,-0.021183132,-0.067695928,0.028101522,0.09414244,-0.134249855,0.079899902,-0.069622923,0.028594651,0.173067131,-0.01835012,0.183512689,0.074974199,-0.085118209,-0.013997554,-0.022323588,-0.007384421,0.012100389,-0.036066225,0.070374828,-0.028989881,0.018708413,0.088552163,0.088964923,0.14165631,-0.073113257,0.143635316,0.04961517,0.063929581,0.090100492,0.010759263,2020/5/26,1,homes,fight for,protection
23,22,-0.014758456,0.052886699,-0.016030348,-0.053043287,-0.036263133,0.039184355,-0.001533653,0.003439402,-0.020092018,-0.003671016,-0.026080536,-0.01092535,0.023361885,0.024288778,-0.044684326,-0.015087933,-0.005300804,-0.04026083,-0.055202062,0.018897287,-0.066704746,-0.021030167,-0.00395853,0.011536952,-0.058103618,0.039329309,-0.019586216,0.000652182,0.041071813,-0.027521757,0.010922721,-0.008193402,-0.063948335,-0.020383398,0.002997364,-0.001745694,-0.017929857,-0.063781257,0.002134022,-0.017658385,-0.0015667,0.009191579,-0.0304725,0.020388686,-0.007954704,-0.0077732,-0.01456515,-0.007679083,0.029678928,-0.00767842,2020/6/8,1,Congress steps,protect,independence of federal watchdogs
24,23,0.948187106,0.949428282,0.9481704,0.95598551,0.941881579,0.954555134,0.951541756,0.93903751,0.951683684,0.939050547,0.935674513,0.941902044,0.95707585,0.950577251,0.95196992,0.945161033,0.945338503,0.941064215,0.954016322,0.957580867,0.959759601,0.939246401,0.943663971,0.953015138,0.935757085,0.952050749,0.953719535,0.945530612,0.950770192,0.954844905,0.953724389,0.939259197,0.945980413,0.953596666,0.954138547,0.945184693,0.939955309,0.951623149,0.955174799,0.950634056,0.95967795,0.946995524,0.948027185,0.952979013,0.950631528,0.952487685,0.939839771,0.947081108,0.955897978,0.949393862,2020/4/8,1,U.S. stockpile wasnt,handle,crisis
25,24,0.967534758,0.966717882,0.965305543,0.966149811,0.966705367,0.969278149,0.968493854,0.965512702,0.965728724,0.965908111,0.967484846,0.969411964,0.97064164,0.96652271,0.966087538,0.966901245,0.968966245,0.96396605,0.968552537,0.966549118,0.965075865,0.967167628,0.968623929,0.967386309,0.963167816,0.971185539,0.96359684,0.966576388,0.967651474,0.966598083,0.965231217,0.969310346,0.967274964,0.968155739,0.968566007,0.967080527,0.968276255,0.96486755,0.968762286,0.964049762,0.969814067,0.968362365,0.964004348,0.969458209,0.96463512,0.967960769,0.967568779,0.968463281,0.966646143,0.967937894,2020/5/5,1,California population growth rate,hit record low at time,last year
26,25,0.99719677,0.997071932,0.99722569,0.997237113,0.997274985,0.997047718,0.997203719,0.997257215,0.997170823,0.997363941,0.997325992,0.997249046,0.997093961,0.997072671,0.997215146,0.997102017,0.997185224,0.997366434,0.997203017,0.997059575,0.997200941,0.997196276,0.997217533,0.99704252,0.997324998,0.997005715,0.997244552,0.997129491,0.997197746,0.997172409,0.997279673,0.997279769,0.997181379,0.997157756,0.99717838,0.997169816,0.997293073,0.997306476,0.997095237,0.99719245,0.997051089,0.997233985,0.997362856,0.997244915,0.997191929,0.997174286,0.997193764,0.997224094,0.997126292,0.996991301,2020/6/3,1,Thousands protest,is in,London
27,26,0.076709302,0.096924737,0.08961811,0.033617203,0.010956376,0.111175262,0.062288961,0.065597552,0.055907131,0.041298094,0.051294854,0.053200997,0.117819941,0.059755093,0.015662479,0.061245638,0.039782077,0.033426649,0.029627146,0.072921701,0.031005884,0.025919915,0.067397199,0.057763905,0.001554171,0.1194545,0.05052304,0.05010611,0.091320006,0.031459413,0.064617406,0.02635866,0.025866826,0.076348247,0.098469266,0.041790613,0.046897346,0.004033238,0.091030386,-0.000191102,0.110359171,0.059016746,0.030656311,0.082133459,0.050257234,0.066510819,0.032537736,0.081267974,0.093754248,0.066049105,2020/6/15,1,Ron Johnsons investigations,thrust,freewheeling GOP senator
28,27,0.502985326,0.50025444,0.479654215,0.477487124,0.468100603,0.515604774,0.47386847,0.497660684,0.483869522,0.47157921,0.469304233,0.501068444,0.506757741,0.513797155,0.484977081,0.514266026,0.474543111,0.468870469,0.463704284,0.515830658,0.446215756,0.482322468,0.478695663,0.493910094,0.460072711,0.541914019,0.488987595,0.489156765,0.511706236,0.457734079,0.477081123,0.484255409,0.461791568,0.474173068,0.485269378,0.480470788,0.465252152,0.465479713,0.487333389,0.479043796,0.501647293,0.501060448,0.458468728,0.487185886,0.467585137,0.488280986,0.466155143,0.472548095,0.502619143,0.526522686,2020/5/11,1,Covid death toll,rises to,26643 in France
29,28,0.866133284,0.87325009,0.874464445,0.866471262,0.863627556,0.873367529,0.874226794,0.860467182,0.86314003,0.849415897,0.852495232,0.853324864,0.873058507,0.869523219,0.863839758,0.873751884,0.870151089,0.848845222,0.859271692,0.875377773,0.865554058,0.859576032,0.857448033,0.876173176,0.845435341,0.881077052,0.8602887,0.867260561,0.876817934,0.864484148,0.857989503,0.851723763,0.858175414,0.862541674,0.869321709,0.860063893,0.856158739,0.853373163,0.873756955,0.859221299,0.873860291,0.863508446,0.860320421,0.872944328,0.864627385,0.868632866,0.860216182,0.862147406,0.870122939,0.881321311,2020/4/16,1,U.S.,still struggling with,testing on scale
30,29,-0.010826279,0.045713935,-0.008077005,-0.032465127,-0.035631656,0.040148093,-0.008159346,-0.009804579,-0.019236892,0.002610072,-0.018218987,0.0219134,0.003734846,0.034367486,-0.049083066,-0.001355134,-0.036882078,-0.036081816,-0.045666943,0.030720706,-0.049570029,-0.008390493,-0.008945955,-0.014366492,-0.032233574,0.060431244,-0.028696147,-0.00665946,0.022137925,-0.053352681,0.010549462,-0.026725858,-0.056854614,-0.012061519,0.015434003,-0.007623597,-0.040864846,-0.075381159,-0.039708081,-0.046533609,0.033266275,0.007617437,-0.043297948,0.002484094,-0.058406739,-0.016877838,-0.015735419,-0.004515838,0.021031018,-0.030967728,2020/5/1,0,Heathrow airport expansion,be delayed by,at least 2 years
31,30,-0.001847626,-0.001319118,-0.051248772,-0.014822842,-0.033663425,0.008318047,-0.026387468,-0.023227748,-0.009394023,-0.025739039,-0.039182791,-0.020703434,0.000783604,-0.005552202,-0.032495995,-0.024595189,-0.042107308,-0.031078544,-0.027052441,0.003806287,-0.028693561,-0.057823069,-0.025412274,-0.009478327,-0.041254466,0.019022243,-0.015222716,-0.005288228,0.004404784,-0.049284985,-0.005217805,-0.033441806,-0.027500448,-0.025348402,-0.017376145,-0.025732998,-0.048258413,-0.03906355,-0.013653912,-0.043213965,0.008276149,-0.01124201,-0.034937944,0.006174802,-0.052043088,-0.04044233,-0.042660032,-0.01016493,0.005654382,-0.029713613,2020/3/20,0,Stuck,is in,Overwhelmed Legal System
32,31,0.105730778,0.120637413,-0.040953259,-0.031014608,-0.001249712,0.100019089,0.047991363,0.073792005,0.041693658,0.041803477,-0.003389007,0.042413429,0.099103664,0.118811389,-0.035658381,0.028461451,0.005116878,0.033254161,-0.002987386,0.083930614,-0.055634678,0.06338469,0.087057265,0.051457021,-0.009181219,0.117947697,0.036879561,0.063296201,0.095792268,0.011084077,0.017759591,0.044573538,0.005546001,0.039514998,0.030873999,0.01522278,0.046682323,-0.023525145,0.017723935,0.001135215,0.071774132,0.02081876,0.020247975,0.061078038,0.04489032,0.044281339,0.088297014,0.068296733,0.089448717,0.083719227,2020/5/7,1,Chile,reports spike in,one day
33,32,0.099118567,0.06670846,-0.014761843,0.008069171,0.001585401,0.078500411,0.105902568,0.042071938,0.090263685,0.066915251,0.000753192,0.035029379,0.066159429,0.064104747,0.019858355,0.095844395,0.005624483,0.051105786,0.024674222,0.0608766,0.021451579,0.040426634,0.015383014,0.049080839,0.073457532,0.132613563,0.019294041,0.104528338,0.117539726,0.083228702,0.078445571,0.027985928,0.010923493,0.081832784,0.021729077,0.049482588,0.053794929,0.053283194,0.060615515,0.027810693,0.070826572,0.08637792,0.029533879,0.030544459,0.008165928,0.06152711,0.056252641,0.090761889,0.118902799,0.101420857,2020/6/8,1,Paul Winfree,director at,Heritage Foundation
34,33,0.090937527,0.125252117,0.06307265,0.031172167,0.058005402,0.145471644,0.08631053,0.088981857,0.086150759,0.077711799,0.046632621,0.102930667,0.119939789,0.128431553,0.051771441,0.086979526,0.068430794,0.089997831,0.061782354,0.145893966,0.050142898,0.066053885,0.085709452,0.098473191,0.034045891,0.148863464,0.068678269,0.105110471,0.130661812,0.031313207,0.057556952,0.085403868,0.035781702,0.078324207,0.102492225,0.089683734,0.065899872,0.045562418,0.071170974,0.078808571,0.130237047,0.093637229,0.051538837,0.097788857,0.074666058,0.073785435,0.096954488,0.078562882,0.116963737,0.132611946,2020/4/29,1,Trump,relax,shelter in White House routine
35,34,0.511206581,0.488632438,0.428972784,0.412650018,0.452307028,0.489724344,0.463293353,0.447201049,0.457846673,0.417248986,0.449602376,0.432370677,0.481187076,0.47020074,0.461117949,0.489118399,0.428660566,0.420151444,0.413378054,0.477191928,0.454567579,0.437705501,0.418413522,0.454579337,0.44890644,0.493134598,0.45614893,0.473642626,0.473974582,0.45550765,0.462460992,0.4285032,0.446572354,0.477334393,0.468099112,0.480413791,0.422641044,0.416137279,0.462450384,0.425418684,0.488735405,0.457165819,0.453119771,0.49657946,0.457381442,0.442976527,0.463958525,0.456305601,0.486356924,0.491985328,2020/4/6,1,Acting Navy secretary,apologizes amid,uproar over leaked carrier speech
36,35,0.349355632,0.446839445,0.150926243,0.294613766,0.315084201,0.363313302,0.302755578,0.227454729,0.30717677,0.324661227,0.181979922,0.334556352,0.296795472,0.396304456,0.215370604,0.29986525,0.341967316,0.159828284,0.193375933,0.155799118,0.137590815,0.309728709,0.355587944,0.181765602,0.259802818,0.4789478,0.277367556,0.305240668,0.308174733,0.376714921,0.170414454,0.248572969,0.327992524,0.337600877,0.320750357,0.30491103,0.150391366,0.276482964,0.254775151,0.247480241,0.319874532,0.203911027,0.291470948,0.168155118,0.326460549,0.165402139,0.2597329,0.237890314,0.263187365,0.424104378,2020/5/7,1,things,Are getting better in,US
37,36,0.306987902,0.258755273,0.235350057,0.215929609,0.241172214,0.254221113,0.192863721,0.193744529,0.258829183,0.234291952,0.190318292,0.193194431,0.284950821,0.285984307,0.24303189,0.315277491,0.198907794,0.266235355,0.220056797,0.313063129,0.259972562,0.226908246,0.241049439,0.296426542,0.227334007,0.34168579,0.199653078,0.211883038,0.262169562,0.225770988,0.237786591,0.192511806,0.211812078,0.256073779,0.267202449,0.206661025,0.208276774,0.207845001,0.258188235,0.219918756,0.286571583,0.218336438,0.252564206,0.288117134,0.223185783,0.210280266,0.232521062,0.234153789,0.318040252,0.324725007,2020/6/3,1,Congress,act on,police killings
38,37,0.728327315,0.733065549,0.704679449,0.692738551,0.691819703,0.735569556,0.709389383,0.699985746,0.720044835,0.68648145,0.697056952,0.703085714,0.7556753,0.726465363,0.711873856,0.722637948,0.71357851,0.698796738,0.702600411,0.732870912,0.714850838,0.692596135,0.714138601,0.739285828,0.693174748,0.749290797,0.712583533,0.71328661,0.725722929,0.711935677,0.700844168,0.684013268,0.699494481,0.717278473,0.723419047,0.718118685,0.693629593,0.68727441,0.723051414,0.698526965,0.723070909,0.706503126,0.690463123,0.713250545,0.711422959,0.70261143,0.721577071,0.708690842,0.729099677,0.750493211,2020/4/30,0,intel agency,rules out,manmade theory of coronavirus origins
39,38,0.217865931,0.193654075,0.09235875,0.092613533,0.085018183,0.174450852,0.153529749,0.107665822,0.061900961,0.031322004,0.041563017,0.094394678,0.101388499,0.1700508,0.010776984,0.116880019,0.055101942,0.020937034,0.027193623,0.110087374,0.072431752,0.093878974,0.102665919,0.11312952,0.093996598,0.23626789,0.081593662,0.085209138,0.113076985,0.119604316,0.081021152,0.021133038,0.040707603,0.129961179,0.163510193,0.027715412,0.035123578,-0.043343619,0.144585071,0.007094965,0.121319187,0.094069559,0.089565967,0.107097492,0.056796685,0.063402818,0.10040058,0.149585944,0.132949212,0.030165242,2020/3/26,1,HHS,kept during,coronavirus distancing
40,39,0.993140949,0.992165416,0.993414179,0.992743011,0.99250761,0.9927812,0.992494519,0.99341949,0.993037004,0.992879251,0.992686416,0.993215666,0.993036811,0.993042767,0.992422276,0.992047409,0.992905088,0.993225015,0.993081611,0.992446083,0.992359894,0.992521031,0.992715867,0.992318675,0.992678811,0.992963676,0.993064634,0.992708256,0.992295633,0.993080113,0.992809148,0.992454056,0.992544356,0.992807861,0.992600702,0.992191906,0.992496685,0.992537845,0.992581326,0.992311487,0.992593911,0.992428355,0.99193806,0.991953742,0.992564373,0.992736837,0.992864395,0.992137447,0.992658906,0.99315475,2020/5/14,1,CDC,releases guidance on,reopening
